"rel_path","top_dir","extension","size_bytes","is_text","line_count","todo_count","fixme_count","sha256","last_write"
".dart_tool\dartpad\web_plugin_registrant.dart",".dart_tool",".dart","1590","True","37","0","0","14653c814d322ca0fcd5d53517ee149638b1f61f884e90ab390d77767224d786","2026-02-26T10:54:11.8044573Z"
".dart_tool\flutter_build\0abc591b92a9facc5cb3170a64f93896\.filecache",".dart_tool",".filecache","407626","True","1","0","0","de0b52119d5692d926dce31658f990fffed8323f05d92f9ea280846e3362c635","2026-02-26T05:34:41.5832067Z"
".dart_tool\flutter_build\0abc591b92a9facc5cb3170a64f93896\app.dill",".dart_tool",".dill","84735912","False",,,,"1c161bebb151783e078e42aa55c99247b6f69dd222a7d72c469f719b4e3ebb9a","2026-02-26T05:34:31.0408872Z"
".dart_tool\flutter_build\0abc591b92a9facc5cb3170a64f93896\dart_build_result.json",".dart_tool",".json","137","True","1","0","0","0e9f775503319316c487f254ce36fc6761713de08447e07ee4bdfa557b1afd29","2026-02-26T05:33:58.3784344Z"
".dart_tool\flutter_build\0abc591b92a9facc5cb3170a64f93896\dart_build.d",".dart_tool",".d","118","True","1","0","0","67db96c979471d9d3d172552fc1357f8d29c97a8e6d3d7f25038d30723d4a8e9","2026-02-26T05:33:58.3864484Z"
".dart_tool\flutter_build\0abc591b92a9facc5cb3170a64f93896\dart_build.stamp",".dart_tool",".stamp","418","True","1","0","0","ad55101bfaf87f12f513c3cf1ec43348eb4794626ea90ba3f76bf22eda52ce8d","2026-02-26T05:33:58.4237244Z"
".dart_tool\flutter_build\0abc591b92a9facc5cb3170a64f93896\debug_bundle_windows-x64_assets.stamp",".dart_tool",".stamp","15587","True","1","0","0","138b50692f8fbddba6f2bdb24eea5b0d765067b034df4102dea312ddbe543795","2026-02-26T05:34:41.5552025Z"
".dart_tool\flutter_build\0abc591b92a9facc5cb3170a64f93896\flutter_assets.d",".dart_tool",".d","15066","True","1","0","0","84458a3af11600db2835ffb083ed89301156936377b8bf5fe83c8dbd227c3da9","2026-02-26T05:34:39.7284339Z"
".dart_tool\flutter_build\0abc591b92a9facc5cb3170a64f93896\gen_dart_plugin_registrant.stamp",".dart_tool",".stamp","179","True","1","0","0","3ed48a672df1a425da6ab559a965c72237fae9ace9c8a80a842746b498f54731","2026-02-26T05:33:58.9192485Z"
".dart_tool\flutter_build\0abc591b92a9facc5cb3170a64f93896\gen_localizations.stamp",".dart_tool",".stamp","26","True","1","0","0","cc720a324af5727c74f00b41fb209465e50885fadb5f14831028fa4b418d3ccc","2026-02-26T05:33:49.3209204Z"
